key,value
SDGS.3.TARGETS.9.DESCRIPTION,"Reducir sustancialmente el número de muertes y enfermedades causadas por productos químicos peligrosos y la contaminación del aire, el agua y el suelo."
SDGS.3.TARGETS.d.DESCRIPTION,Nombre de hito no disponible
SDGS.4.TITLE,Educación de calidad
SDGS.4.DESCRIPTION,"Garantizar una educación inclusiva, equitativa y de calidad, y promover oportunidades de aprendizaje durante toda la vida para todas las personas."
SDGS.4.TARGETS.1.DESCRIPTION,"Contribuir al éxito educativo, garantizando el acceso a una educación gratuita, equitativa y de calidad."
SDGS.4.TARGETS.1.INDICATORS.1.TITLE,Tasa de matriculación en PFI
SDGS.4.TARGETS.1.INDICATORS.1.DESCRIPTION,Alumnos matriculados en PFI sobre el total de población de entre 16 y 21 años en el municipio.
SDGS.4.TARGETS.1.INDICATORS.1.UNIT,%
SDGS.4.TARGETS.1.INDICATORS.1.VALUES.1.TITLE,Número total de alumnos matriculados en PFI
SDGS.4.TARGETS.1.INDICATORS.1.VALUES.1.UNIT,personas
